enviroment,algorithm,learning_rate,batch_size,hidden_units,num_layers,steps,max_steps,ram_gb,cpu_cores,time_horizon,buffer_size,beta,epsilon,lambd,num_epoch,tau,reward_signal_steps_per_update,init_entcoef,num_parallel_agents,training_duration_seconds,peak_ram_mb,gamma,strength,summary_freq,os,timestamp,gpu_available,gpu_name,gpu_memory_gb,final_mean_entropy,final_sum_entropy,final_mean_reward,final_sum_reward,final_cumulative_mean_reward,final_cumulative_sum_reward,final_mean_extrinsic_value_estimate,final_sum_extrinsic_value_estimate,final_mean_policy_loss,final_sum_policy_loss,final_mean_value_loss,final_sum_value_loss,final_mean_q1_loss,final_sum_q1_loss,final_mean_q2_loss,final_sum_q2_loss,final_mean_cont_entropy_coeff,final_sum_cont_entropy_coeff,final_learning_rate_mean,final_learning_rate_sum
Basic,ppo,0.0001178406598377,256,567,3,267461,267457,63.77914810180664,28,64,4096,0.001554243045659,0.2279302846330465,0.9730498273558792,7,0.0,0.0,0.0,1,819.9950352000001,1303.88671875,0.9761528018653756,1.0,10000,Windows,2026-01-04T12:03:21.482257,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,3.270421439083293e-05,0.3270748555660248,0.9300000071525574,1328.9700102210045,0.9300000071525574,1328.9700102210045,0.8930918574333191,1276.228271484375,0.0501805462394951,0.1505416387184855,1.066330606514483e-05,3.198991819543449e-05,0,0,0,0,0,0,0.0001178406598377,0.0003535219795133
Basic,ppo,0.0001034830767511,256,629,1,419732,419727,63.77914810180664,28,1024,8192,0.0019270924361125,0.112095371603611,0.9881418771379205,3,0.0,0.0,0.0,1,1020.5857224,1290.1796875,0.8125568800491522,1.0,10000,Windows,2026-01-04T12:20:25.844181,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,0.0004910435527563,4.903560638427734,0.9300000071525574,1328.040010213852,0.9300000071525574,1328.040010213852,0.555856466293335,793.7630615234375,0.0496172005465875,0.099234401093175,4.3690063322085006e-14,8.738012664417001e-14,0,0,0,0,0,0,0.0001034830767511,0.0002069661535023
Basic,ppo,0.0003296121354814,128,681,3,400798,400744,63.77914810180664,28,128,8192,0.0095140564094419,0.2010506376912385,0.9207015504899227,10,0.0,0.0,0.0,1,1131.7635425999997,1342.18359375,0.9982008066127775,1.0,10000,Windows,2026-01-04T12:39:21.856886,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,-1.1920927533992653e-07,-0.0011831520823761,0.9238032903827604,281.76000356674194,0.9238032903827604,281.76000356674194,-1.7251209020614624,-134.55943298339844,0.067522556808992,0.067522556808992,0.0003037795066036,0.0003037795066036,0,0,0,0,0,0,0.0003296121354814,0.0003296121354814
Basic,ppo,0.0003449404793665,2048,112,5,440177,440175,63.77914810180664,28,1024,4096,0.0076248043482723,0.2670241529215348,0.9134598374232592,4,0.0,0.0,0.0,1,1054.3827886,1322.515625,0.9339206058194968,1.0,10000,Windows,2026-01-04T12:57:00.276114,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,2.3716629584669136e-06,0.0237071439623832,0.9300000071525574,1328.040010213852,0.9300000071525574,1328.040010213852,0.7870795130729675,1123.9495849609375,0.0069170005735941,0.0207510017207823,5.436189692842319e-16,1.6308569078526958e-15,0,0,0,0,0,0,0.0003449404793665,0.0010348214380996
Basic,ppo,0.0007506565752338,2048,488,2,226293,226290,63.77914810180664,28,64,10240,0.006385230122018,0.1567183927970244,0.9534798730063696,7,0.0,0.0,0.0,1,510.7068833000003,1342.93359375,0.8002753224961763,1.0,10000,Windows,2026-01-04T13:05:34.935337,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,0.0001174138888018,1.174373745918274,0.9300000071525574,1328.040010213852,0.9300000071525574,1328.040010213852,0.5374717712402344,767.5097045898438,0.0121054918106113,0.0121054918106113,1.4979461123879442e-15,1.4979461123879442e-15,0,0,0,0,0,0,0.0007506565752338,0.0007506565752338
Basic,ppo,0.0002078000776777,128,481,3,59614,568768,63.77914810180664,28,256,4096,0.0082267381200643,0.1064698527432606,0.9899681588940032,10,0.0,0.0,0.0,1,146.48739449999994,1328.25390625,0.8155079133413644,1.0,10000,Windows,2026-01-04T13:08:05.158839,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,0.3378512859344482,3376.823486328125,0.7056533259584844,1074.7100154347718,0.7056533259584844,1074.7100154347718,0.398705244064331,607.2280883789062,0.0820764652351499,0.2462293957054498,0.0032528233478842,0.0097584700436527,0,0,0,0,0,0,0.0002078000776777,0.0006234002330332
GridWorld,ppo,0.0002441128493857,1024,752,4,259486,259486,63.77914810180664,28,64,2048,0.0079771491129593,0.1714112232082841,0.9894413849863066,4,0.0,0.0,0.0,1,113.88915159999942,19365.1796875,0.8866135684226832,1.0,10000,Windows,2026-01-04T13:11:47.074803,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
3DBall,ppo,0.0009976082643686,128,638,4,135837,226307,63.77914810180664,28,256,4096,0.0092322232310107,0.2460162797753294,0.9011067263891884,4,0.0,0.0,0.0,1,67.04658289999952,1180.33203125,0.8024644306789256,1.0,10000,Windows,2026-01-04T13:13:22.322192,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,1.5133155584335327,4412.828125,14.29243915672062,1700.8002596497536,14.29243915672062,1700.8002596497536,0.2978482246398926,36.63533020019531,0.1022563386906051,0.2045126773812102,0.0022936540110043,0.0045873080220086,0,0,0,0,0,0,0.0009976082643686,0.0019952165287373
Pyramids,ppo,0.0006039882887245,128,95,2,282880,264813,63.77914810180664,28,256,10240,0.0090810001509883,0.1618494794500635,0.941224847436038,7,0.0,0.0,0.0,1,259.2145004000004,1511.48828125,0.9156421165009296,1.0,10000,Windows,2026-01-04T13:18:10.763630,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,1.458849310874939,70538.28125,-1.0000000596046448,-16.000000953674316,-1.0000000596046448,-16.000000953674316,-0.0088589740917086,-0.3454999923706054,0.073956323585229,0.073956323585229,0.2084637165646113,0.2084637165646113,0,0,0,0,0,0,0.0006039882887245,0.0006039882887245
Pyramids,ppo,0.0004514408448066,1024,286,1,221469,212440,63.77914810180664,28,128,10240,0.0056531335574284,0.116767068747955,0.917832848562676,9,0.0,0.0,0.0,1,139.41944610000064,1409.56640625,0.8092992312638685,1.0,10000,Windows,2026-01-04T13:20:34.048363,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,1.2141611576080322,3632.77001953125,-1.0000000521540642,-12.00000062584877,-1.0000000521540642,-12.00000062584877,-0.0070405742153525,-0.563245952129364,0.0304272663391505,0.0304272663391505,0.1508888035874676,0.1508888035874676,0,0,0,0,0,0,0.0004514408448066,0.0004514408448066
