step,mean_reward,mean_group_reward,std_reward,time_elapsed,memory_usage_avg_mb,memory_usage_peak_mb,cpu_usage_avg_mb,cpu_usage_peak_mb,gpu_usage_avg_mb,gpu_usage_peak_mb,trainer_type,batch_size,buffer_size,learning_rate,beta,epsilon,lambd,num_epoch,learning_rate_schedule,gamma,time_horizon,hidden_units,num_layers,tau,init_entcoef,steps_per_update
1530000,91.928,,37.79,1261.454,629.7158943535514,667.640625,0.1367118914604948,100.3,1414.310841480447,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
1560000,110.056,,37.165,1288.04,629.9750384822127,667.640625,0.13393275996872558,100.3,1414.1287138389366,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
1590000,97.544,,42.075,1311.008,630.3268169162826,667.640625,0.13156682027649771,100.3,1413.973664314516,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
1620000,84.547,,53.575,1337.444,630.5691565088479,667.640625,0.1289909638554217,100.3,1413.8048581042922,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
1650000,119.973,,38.019,1360.323,630.6657452812731,667.640625,0.12679496669133974,100.3,1413.6609455958549,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
1680000,116.432,,40.551,1386.752,630.8268683051924,667.640625,0.124400871459695,100.3,1413.5040509259259,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
1710000,102.895,,48.063,1410.15,630.9005998883929,668.08984375,0.12235714285714286,100.3,1413.3701171875,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
1740000,122.515,,41.183,1432.896,631.1377865864371,668.08984375,0.12037947997189039,100.3,1413.2405130007028,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
1770000,106.066,,52.465,1459.76,631.5014951508621,668.08984375,0.11813793103448277,100.3,1413.0936153017242,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
1800000,122.43,,46.389,1482.709,631.7054655655571,668.08984375,0.11637228260869566,100.3,1412.9779052734375,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
1830000,123.012,,50.414,1509.129,631.858206775701,668.08984375,0.1143524699599466,100.3,1412.845538843458,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
1860000,123.741,,55.739,1532.117,631.940507375904,668.08984375,0.1126232741617357,100.3,1412.7322177021697,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
1890000,140.294,,48.967,1554.964,632.084525785298,668.08984375,0.1109455958549223,100.3,1412.622272708873,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
1920000,125.484,,49.642,1581.464,632.4220516520701,668.08984375,0.10910828025477708,100.3,1412.5018660429937,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
1950000,123.734,,51.227,1604.153,632.6766713747646,668.08984375,0.10753295668549906,100.3,1412.3986287664784,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
1980000,120.993,,62.719,1630.77,632.9355842726992,668.08984375,0.10580605311920939,100.3,1412.2854578443485,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
2010000,136.195,,43.514,1654.021,632.987912511419,668.08984375,0.10432399512789282,100.3,1412.1883326355055,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
2040000,151.966,,43.441,1677.244,633.0783877627628,668.08984375,0.10288288288288289,100.3,1412.0938907657658,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
2070000,139.536,,47.225,1704.085,633.2848815196513,668.08984375,0.10124113475177306,100.3,1411.9863004210993,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
2100000,117.905,,64.027,1726.943,633.500733846266,668.08984375,0.09994165694282381,100.3,1411.9011404244457,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
2130000,146.524,,42.655,1753.475,633.7157300043078,668.08984375,0.09839172889144171,100.3,1411.7995674181504,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
2160000,151.719,,48.336,1776.608,633.715800382653,668.08984375,0.09710884353741497,100.3,1411.7154947916667,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
2190000,147.075,,56.018,1803.08,633.7778893156425,668.08984375,0.09569832402234638,100.3,1411.6230577863128,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
2220000,139.649,,52.929,1826.101,633.8526871897408,668.08984375,0.09448428019856592,100.3,1411.5434966216217,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
2250000,136.635,,54.006,1848.843,633.9761175919618,668.08984375,0.09335149863760218,100.3,1411.4692608991825,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
2280000,144.68,,53.275,1875.387,634.2092813843364,668.08984375,0.09204728640515852,100.3,1411.3837906367544,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
2310000,147.906,,59.618,1898.486,634.394292811173,668.08984375,0.0909235668789809,100.3,1411.310148785828,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
2340000,145.894,,59.913,1924.968,634.4421936354712,668.08984375,0.08968586387434556,100.3,1411.2290371400525,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
2370000,145.208,,59.894,1948.228,634.4133915869115,668.08984375,0.08861872736678739,100.3,1411.1591034014484,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
2400000,146.121,,54.364,1971.107,634.4550321926125,668.08984375,0.08757668711656443,100.3,1411.090814321319,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
2430000,137.469,,61.662,1997.758,634.6799179746596,668.08984375,0.08638426626323753,100.3,1411.048663640948,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
2460000,172.171,,38.897,2020.646,634.8386533665836,668.08984375,0.08543640897755611,100.3,1411.0200670199501,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
