step,mean_reward,mean_group_reward,std_reward,time_elapsed,memory_usage_avg_mb,memory_usage_peak_mb,cpu_usage_avg_percent,cpu_usage_peak_percent,gpu_usage_avg_mb,gpu_usage_peak_mb,trainer_type,batch_size,buffer_size,learning_rate,beta,epsilon,lambd,num_epoch,learning_rate_schedule,buffer_init_steps,tau,steps_per_update,steps_per_update.1,init_entcoef,reward_signal_steps_per_update,policy_entropy,losses_policy_loss,losses_value_loss
360000,-1.0,,0.0,968.048,1267.4722761387163,1416.421875,89.57494824016557,1298.9,,,sac,512,200000,0.0003,,,,,constant,0,0.005,10.0,10.0,0.1,10.0,0.7424320578575134,-0.3267442584037781,3.2741067457209283e-07
370000,-1.0,,0.0,993.485,1271.1371089808274,1418.09375,89.5476286579212,1298.9,,,sac,512,200000,0.0003,,,,,constant,0,0.005,10.0,10.0,0.1,10.0,0.7005925178527832,-0.2999993860721588,2.6989235379915044e-07
380000,-1.0,,0.0,1020.985,1275.010733562316,1418.09375,89.51609421000973,1298.9,,,sac,512,200000,0.0003,,,,,constant,0,0.005,10.0,10.0,0.1,10.0,0.6515272259712219,-0.2755238711833954,2.3485787892241206e-07
390000,-1.0,,0.0,1048.467,1278.549608628107,1418.09375,89.50793499043968,1298.9,,,sac,512,200000,0.0003,,,,,constant,0,0.005,10.0,10.0,0.1,10.0,0.6494755744934082,-0.2510676681995392,2.1936018868018436e-07
400000,-1.0,,0.0,1078.064,1282.1700145348836,1418.09375,89.50669767441849,1298.9,,,sac,512,200000,0.0003,,,,,constant,0,0.005,10.0,10.0,0.1,10.0,0.5464029908180237,-0.2270095944404602,2.224775101922205e-07
410000,-1.0,,0.0,1103.468,1285.4182277475022,1419.984375,89.4703905540417,1298.9,,,sac,512,200000,0.0003,,,,,constant,0,0.005,10.0,10.0,0.1,10.0,0.4947625696659088,-0.20514369010925293,2.3199071108592761e-07
420000,-1.0,,0.0,1130.984,1288.639225953014,1419.984375,89.46622340425522,1298.9,,,sac,512,200000,0.0003,,,,,constant,0,0.005,10.0,10.0,0.1,10.0,0.5707675218582153,-0.1851857602596283,2.0253085608601396e-07
430000,-1.0,,0.0,1158.582,1291.821339749135,1420.84375,89.43996539792377,1298.9,,,sac,512,200000,0.0003,,,,,constant,0,0.005,10.0,10.0,0.1,10.0,0.48611387610435486,-0.16518858075141907,2.161627321584092e-07
440000,-1.0,,0.0,1188.18,1294.956091772152,1420.984375,89.45130801687753,1298.9,,,sac,512,200000,0.0003,,,,,constant,0,0.005,10.0,10.0,0.1,10.0,0.4779148995876312,-0.14556114375591278,1.7059244328265777e-07
450000,-1.0,,0.0,1213.649,1297.4562758264462,1420.984375,89.43495867768586,1298.9,,,sac,512,200000,0.0003,,,,,constant,0,0.005,10.0,10.0,0.1,10.0,0.49525177478790283,-0.1277623176574707,2.1128693106220453e-07
460000,-1.0,,0.0,1241.116,1299.9062247576735,1420.984375,89.40460420032302,1298.9,,,sac,512,200000,0.0003,,,,,constant,0,0.005,10.0,10.0,0.1,10.0,0.27181461453437805,-0.1115448996424675,2.3431402951246127e-07
470000,-1.0,,0.0,1268.649,1302.084300889328,1420.984375,89.40347826086948,1298.9,,,sac,512,200000,0.0003,,,,,constant,0,0.005,10.0,10.0,0.1,10.0,0.31659337878227234,-0.09536177664995193,1.6144342396273714e-07
480000,-1.0,,0.0,1298.245,1304.4005791505792,1420.984375,89.39459459459452,1298.9,,,sac,512,200000,0.0003,,,,,constant,0,0.005,10.0,10.0,0.1,10.0,0.30907881259918213,-0.07932648807764053,1.4215166288522596e-07
490000,-1.0,,0.0,1323.715,1306.254521780303,1420.984375,89.3787878787878,1298.9,,,sac,512,200000,0.0003,,,,,constant,0,0.005,10.0,10.0,0.1,10.0,0.37414562702178955,-0.06472428888082504,1.5833160205147578e-07
500000,-1.0,,0.0,1351.316,1308.250440467359,1420.984375,89.35623145400587,1298.9,,,sac,512,200000,0.0003,,,,,constant,0,0.005,10.0,10.0,0.1,10.0,0.2871571481227875,-0.05138164386153221,1.4882779453273542e-07
510000,-1.0,,0.0,1378.948,1310.2335795454546,1420.984375,89.35498181818176,1298.9,,,sac,512,200000,0.0003,,,,,constant,0,0.005,10.0,10.0,0.1,10.0,0.35273757576942444,-0.03801379352807999,1.5206460091121698e-07
